test,expected,result
IRIW_one_tso_read_fence_rest_ptx.als,✓,INSTANCE
IRIW_one_tso_read_fence_rest_ptx_rlx.als,✓,INSTANCE
IRIW_ptx.als,✓,INSTANCE
IRIW_ptx_fences.als,𐄂,INSTANCE
IRIW_ptx_reads_tso_writes.als,✓,INSTANCE
IRIW_ptx_reads_tso_writes_fences.als,𐄂,UNSAT
IRIW_tso.als,𐄂,UNSAT
IRIW_tso_fence_left_ptx_right_fenceacqrel.als,✓,INSTANCE
IRIW_tso_fences.als,𐄂,UNSAT
IRIW_tso_left_ptx_right.als,✓,INSTANCE
IRIW_tso_left_ptx_right_fence.als,𐄂,INSTANCE
IRIW_tso_left_ptx_right_fenceacqrel.als,✓,INSTANCE
IRIW_tso_one_read_ptx_writes.als,✓,INSTANCE
IRIW_tso_reads_ptx_writes.als,𐄂,UNSAT
ISA2_middle_ptx.als,✓,INSTANCE
ISA2_middle_ptx_acq_fence.als,𐄂,UNSAT
ISA2_middle_ptx_acqrel.als,𐄂,UNSAT
ISA2_middle_ptx_acqrel_fence.als,𐄂,UNSAT
ISA2_middle_ptx_rel_fence.als,✓,UNSAT
ISA2_right_ptx.als,✓,INSTANCE
ISA2_right_ptx_acq.als,𐄂,UNSAT
ISA2_right_ptx_acq_cta.als,✓,INSTANCE
MP_ptx.als,✓,INSTANCE
MP_tso.als,𐄂,UNSAT
MP_writes_ptx.als,✓,INSTANCE
MP_writes_ptx_rel_cta.als,✓,INSTANCE
MP_writes_ptx_rel_cta_fence.als,✓,INSTANCE
MP_writes_ptx_rel_sys.als,𐄂,UNSAT
MP_writes_ptx_rel_sys_fence.als,𐄂,UNSAT
MP_writes_tso.als,✓,INSTANCE
MP_writes_tso_ptx_acq_cta.als,✓,INSTANCE
MP_writes_tso_ptx_acq_cta_fence.als,✓,INSTANCE
MP_writes_tso_ptx_acq_sys.als,𐄂,UNSAT
MP_writes_tso_ptx_acq_sys_fence.als,𐄂,UNSAT
PTX_IRIW.als,✓,INSTANCE
PTX_IRIW_2ctas.als,✓,INSTANCE
PTX_IRIW_3ctas.als,𐄂,INSTANCE
PTX_IRIW_3ctas_1scoped_r.als,✓,INSTANCE
PTX_IRIW_3ctas_1scoped_w.als,✓,INSTANCE
PTX_IRIW_3ctas_scoped_rs_after.als,𐄂,INSTANCE
PTX_IRIW_4ctas.als,✓,INSTANCE
PTX_IRIW_acq_fences.als,✓,INSTANCE
PTX_IRIW_acqrel_fences.als,✓,INSTANCE
PTX_IRIW_fences.als,𐄂,INSTANCE
PTX_IRIW_relacq.als,✓,INSTANCE
PTX_IRIW_sc_acqrel_fence.als,✓,INSTANCE
PTX_MP.als,✓,INSTANCE
PTX_MP3.als,✓,INSTANCE
PTX_MP3_acqrel.als,𐄂,UNSAT
PTX_MP3_fences'.als,𐄂,UNSAT
PTX_MP3_fences.als,✓,INSTANCE
PTX_MP3_fences_rel.als,✓,INSTANCE
PTX_MP3_scoped.als,✓,INSTANCE
PTX_MP_acq_seq.als,𐄂,UNSAT
PTX_MP_fence.als,𐄂,UNSAT
PTX_MP_fence1.als,✓,INSTANCE
PTX_MP_fence2.als,✓,INSTANCE
PTX_MP_fence_consumer_weak.als,?,UNSAT
PTX_MP_fence_cta.als,✓,INSTANCE
PTX_MP_fence_cta_1fence.als,✓,INSTANCE
PTX_MP_fence_rel_acq.als,𐄂,UNSAT
PTX_MP_fence_weak.als,?,UNSAT
PTX_MP_fence_weak_rel_acq.als,?,UNSAT
PTX_MP_read_cta.als,𐄂,INSTANCE
PTX_MP_rel_acq.als,𐄂,UNSAT
PTX_MP_rel_seq.als,𐄂,UNSAT
PTX_N7.als,✓,INSTANCE
PTX_WRC.als,✓,INSTANCE
PTX_WRC_acq.als,✓,INSTANCE
PTX_WRC_acq_mid.als,✓,INSTANCE
PTX_WRC_acqrel.als,𐄂,UNSAT
PTX_WRC_cta_1_1_1''.als,,INSTANCE
PTX_WRC_cta_1_1_1'.als,,INSTANCE
PTX_WRC_cta_1_1_1.als,,INSTANCE
PTX_WRC_cta_1_1_1_cta_rf_left.als,✓,INSTANCE
PTX_WRC_cta_1_1_1_cta_rf_left_sc.als,✓,INSTANCE
PTX_WRC_cta_1_1_1_cta_rf_left_sc_acq.als,✓,INSTANCE
PTX_WRC_cta_1_1_1_cta_rf_right.als,✓,INSTANCE
PTX_WRC_cta_1_1_1_rf_cta_left.als,✓,INSTANCE
PTX_WRC_cta_1_2.als,𐄂,UNSAT
PTX_WRC_cta_1_2_acqrel.als,𐄂,UNSAT
PTX_WRC_cta_2_1'.als,𐄂,INSTANCE
PTX_WRC_cta_2_1.als,✓,INSTANCE
PTX_WRC_cta_2_1_acqrel.als,𐄂,INSTANCE
PTX_WRC_no_dep.als,✓,INSTANCE
PTX_WRC_rel_first.als,✓,INSTANCE
PTX_WRC_rel_mid.als,𐄂,UNSAT
PTX_WRC_rel_mid_no_fence.als,𐄂,UNSAT
PTX_WRC_sc_dep.als,✓,INSTANCE
PTX_WRC_two_deps.als,✓,INSTANCE
PTX_co_four_thread.als,𐄂,UNSAT
PTX_co_two_thread.als,𐄂,UNSAT
PTX_dekkers.als,✓,INSTANCE
PTX_dekkers_acqfence.als,✓,INSTANCE
PTX_dekkers_acqrel.als,✓,INSTANCE
PTX_dekkers_acqrelfence.als,✓,INSTANCE
PTX_dekkers_fence.als,𐄂,INSTANCE
PTX_dekkers_relfence.als,✓,INSTANCE
PTX_simpleRF.als,✓,INSTANCE
PTX_simple_write_serialization.als,𐄂,UNSAT
PTX_simple_write_serialization_extra_thread.als,𐄂,UNSAT
PTX_three_vars_ws.als,✓,INSTANCE
PTX_two_plus_two2.als,✓,INSTANCE
PTX_two_plus_two2_rlx.als,✓,INSTANCE
PTX_write_serialization.als,✓,INSTANCE
PTX_write_serialization_unscoped.als,𐄂,UNSAT
WRC_middle_ptx_acqrel.als,𐄂,UNSAT
WRC_middle_ptx_acqrel_cta.als,✓,INSTANCE
WRC_middle_ptx_acqrel_cta_fence.als,✓,INSTANCE
WRC_middle_ptx_acqrel_fence.als,𐄂,UNSAT
WRC_middle_tso_acq.als,𐄂,UNSAT
WRC_middle_tso_dep.als,✓,INSTANCE
WRC_ptx_reader_acq.als,𐄂,UNSAT
WRC_ptx_reader_dep.als,✓,INSTANCE
cmm.als,,INSTANCE
dekkers_mix.als,✓,INSTANCE
dekkers_mix_fence.als,𐄂,INSTANCE
dekkers_mix_only_cta_fence.als,✓,INSTANCE
dekkers_mix_only_ptx_fence.als,✓,INSTANCE
dekkers_mix_only_tso_fence.als,✓,INSTANCE
dekkers_ptx.als,✓,INSTANCE
dekkers_ptx_fence.als,𐄂,INSTANCE
dekkers_tso.als,✓,INSTANCE
dekkers_tso_fence.als,𐄂,UNSAT
dekkers_tso_ptx_dont_care.als,✓,INSTANCE
tso_two_plus_two2.als,,UNSAT
util.als,,INSTANCE
x86_IRIW.als,𐄂,UNSAT
x86_IRIW_fences.als,𐄂,UNSAT
x86_MP.als,𐄂,UNSAT
x86_MP3.als,𐄂,UNSAT
x86_MP_fence.als,𐄂,UNSAT
x86_MP_fence1.als,𐄂,UNSAT
x86_MP_fence2.als,𐄂,UNSAT
x86_N7.als,✓,INSTANCE
x86_N7_fence.als,𐄂,UNSAT
x86_N7_four_threads.als,,UNSAT
x86_N7_two_threads.als,✓,INSTANCE
x86_N7_two_threads_fences.als,𐄂,UNSAT
x86_WRC.als,𐄂,UNSAT
x86_WWRWRR_fences'.als,𐄂,UNSAT
x86_dekkers.als,✓,INSTANCE
x86_dekkers_fence.als,𐄂,UNSAT
